西元前年,年份數字,紀年標題,本年條目數,國家,人物,事件詞,本年內容摘要
前468,468,周貞定王元年（西元前四六八年）,16,秦、齊、楚、韓、魏、晉、周、魯、越、吳、衛、宋、鄭、代,孔子、子貢、句踐、知伯、智伯、荀瑤,伐、攻、救、卒、立、徙都、滅、取、盟、聘、會、遷、奔,秦厲共公九年，晉出公七年，齊平公十三年，楚惠王二十一年，越句踐二十九年，魯哀公二十七年。 案：《史記·周本紀》雲：“元王八年崩，子定王介立。”《索隱》雲：“如《史記》，則元王為定王父，定王即貞王也。依《世本》，則元王為貞王子，必有一乖誤。”《左傳》哀公十九年《正義》引《世本》，既雲：“魯哀公二十年貞定王介崩，子元王赤立。”又雲：“敬王崩，貞王介立，貞王崩，元王赤立。”據此可知，介有貞、定二諡。《周本紀·集解》又引皇甫謐曰：“元王十一年癸未，三晉滅智伯，二十八年崩，三子爭立，立應為貞定王。”考《世本》以元王為貞定王之子，而《史記》則以貞定王為元王之子。《帝王世紀》從《史記》之說，但《史記》謂元王八年崩，定王二十八年崩，而《帝王世紀》又謂元王二十八年崩，貞定王十年崩，與《史記》不合。今從《史記》。 〔魯哀公〕二十七年春，越子使舌庸來聘(“舌”原誤作“後”，今從唐《石經》宋本、《金澤文庫》本及《國語·吳語》改正)，且言邾田，封於駘上。二月，盟於平陽，三子皆從，康子病之，言及子贛，曰：“若在此，吾不及此夫！”武伯曰：“然。何不召？”曰：“固將召子。”文子曰：“他日請念。”夏四月己亥，季康子卒。……
前467,467,周貞定王二年（西元前四六七年）,6,秦、齊、楚、趙、魏、晉、周、魯、越、鄭,子貢、句踐、知伯、荀瑤,伐、圍、卒、立、拔、會、奔,秦厲共公十年，晉出公八年，齊平公十四年，楚惠王二十二年，越句踐三十年，魯悼西元年。 秦厲共公十年庶長將兵拔魏城。（《六國表·集解·音義》“拔一作捕”） 案：黃式三《周季編略》改作“秦伐晉拔魏氏城”，並雲：“或是魏氏邊邑耳。”此說無據，史文未見其例。瀧川資言《史記會注考證》雲：“魏城，秦地，不可言拔，當作補，若後年補龐戲城、補龐城。”此說亦無據，秦邊邑無魏城。《六國表》此記疑有脫誤。 其十年(“其”指刺龔公)，彗星見。(《秦始皇本紀》附《秦記》，《六國表》同) [魯]悼公之時，三桓勝，魯如小侯，卑於三桓之家。（《魯世家》） 案：《六國表》記“魯哀公卒”于周定王二年，記“魯悼西元年三桓勝，魯如小侯”于周定王三年，如此則魯哀公有二十八年。惟《魯世家》和《十二諸侯年表》均謂哀公二十七年卒，《漢書·律曆志》引《六國春秋》亦作二十七年，可知《六國表》哀公二十八年之說不確。《左傳》雲：“悼公四年，晉荀瑤帥師圍鄭”，《趙世家》雲：“晉出公十一年知伯伐鄭”，足見魯悼公四年當晉出公十一年，即周定王五年。《六國表》記知伯伐鄭亦在定王五年，惟誤以初次伐鄭之事為再次伐鄭耳。可見魯悼西元年確在周貞定王二年，《六國……
前465,465,周貞定王四年（西元前四六五年）,6,秦、齊、楚、晉、周、魯、越、衛,句踐,卒、立,秦厲共公十二年，晉出公十年，齊平公十六年，楚惠王二十四年，越句踐三十二年，魯悼公三年。 [衛]悼公四年卒於越。（《衛世家·索隱》引《紀年》） [衛]悼公五年卒，子敬公弗立。（《衛世家》） [衛悼公]名虔，敬公費。（《衛世家·索隱》引《世本》） 案：據《左傳》，衛悼公立于魯哀公二十六年，《紀年》雲悼公四年卒。則悼公之卒與敬公之立，當在魯悼公三年，即晉出公十年、周貞定王四年。今《六國表》系衛悼公黔元年于周定王十四年、衛敬西元年于周定王十九年，蓋誤後十四年。 又案：《衛世家》與《六國表》謂悼公名黔，《左傳》杜注：“悼公，蒯蹟庶弟公子黠也。”而《世本》又雲“名虔”。蓋“黔”“黠”“虔”，皆音同通假。《衛世家》言敬公名弗，而《世本》作費，“弗”“費”亦音同通假。
前464,464,周貞定王五年（西元前四六四年）,10,秦、齊、楚、韓、趙、魏、晉、周、魯、越、吳、宋、鄭、代,句踐、知伯、荀瑤、趙襄子,伐、圍、卒、立、即位、賂、殺,秦厲共公十三年，晉出公十一年，齊平公十七年，楚惠王二十五年，越句踐三十三年，魯悼公四年。 晉出公十年十一月於粵子句踐卒，是為菼執。（《越世家·索隱》引《紀年》） 於粵子句踐卒，是菼執。次鹿郢立。（《越世家·索隱》引《紀年》）句踐卒，子王鼫與立。（《越世家》） 越語謂鹿郢為鼫與也。（《越世家·索隱》引樂資雲，當出樂資《春秋後傳》） [句踐]二十七年冬句踐寢疾將卒，謂太子興夷曰(“興”當為“與”字之誤)：“吾自禹之後，承允常之德，蒙天靈之佑，神祇之福，從窮越之地，籍楚之前鋒，以摧吳王之干戈，跨江涉淮，從晉、楚之地，功德巍巍，自致於斯，其可不誡乎？夫霸者之後，難以久立，其慎之哉！”遂卒。興夷即位。(《吳越春秋·句踐伐吳外傳》) 案：金陵局刻本《史記》，《越世家·索隱》兩次引《紀年》於“句踐卒”，有“是為芟執”，或“是芟執”，當是。此與《索隱》引《紀年》“不壽立十年見殺，是為盲姑”，文例相同。蓋句踐為名，芟執為稱號，宋耿秉本、黃善夫本，元彭寅本及清殿本《史記》無“是芟執”三字，蓋脫誤。《吳越春秋》謂句踐二十七年卒，不確。《越世家》稱句踐元年吳伐越，吳師敗于樵李，吳王闔廬因射傷而死。《左傳》記在……
前463,463,周貞定王六年（西元前四六三年）,4,秦、齊、楚、晉、魯、鄭,,卒、立、賂,秦厲共公十四年，晉出公十二年，齊平公十八年，楚惠王二十六年。 秦厲共公十四年晉人、楚人來賂。（《六國表》） 鄭聲公卒，子哀公易立。（《鄭世家》，《六國表》記“鄭聲公卒”於此年） 案：鄭聲公名勝，據《左傳》，立于魯定公九年，至此凡三十八年而卒。《鄭世家》作三十七年，有誤。
前462,462,周貞定王七年（西元前四六二年）,3,秦、齊、楚、趙、晉、周,荀瑤,,秦厲共公十五年，晉出公十三年，齊平公十九年，楚惠王二十七年。 晉出公十三年荀伯瑤城高梁。（《水經·汾水注》引《紀年》） 案：《永樂大典》本、朱謀緯本《水經注》作“三十年”，有誤。趙一清、戴震校本作“十三年”，是也。今本《紀年》列于周貞定王七年，作“晉荀瑤城南梁”，正當晉出公十三年，原注：“一本晉出公二十年。”王國維《今本竹書紀年疏證》雲：“偽此書者所見之本當作十三年。”蓋輯今本《紀年》者，嘗見《水經注》有兩種版本，一作十三年，而另一作二十年。晉出公在位共二十三年，趙紹祖《竹書紀年校補》以二十年為是，雷學淇《竹書紀年義證》亦列於出公二十年。徐文靖《竹書紀年統箋》以為《水經注》“當是十三而訛為三十”。今從之。
前461,461,周貞定王八年（西元前四六一年）,8,秦、齊、楚、韓、趙、魏、晉、周、杞、代,趙襄子、秦孝公,伐、攻、圍、卒、立、稱王、滅、取、會、遷、殺、奔,秦厲共公十六年，晉出公十四年，齊平公二十年，楚惠王二十八年。 秦厲共公十六年塹河旁，伐大荔。補龐戲城。（《六國表》） [秦厲共公]十六年，塹河旁，以二萬兵伐大荔，取其王城。（《秦本紀》） 案：《六國表》多數版本“河”誤作“阿”。《史記會注考證》謂“淩本（明淩稚隆本）阿作河，與《秦記》合”。當以“河”為是。今改正。 [杞]哀公立十年卒，湣公子敕立，是為出公。（《陳杞世家》，哀公名閼路） 是時義渠大荔最強，築城數十，皆自稱王。至周貞定王八年，秦厲公滅大荔，取其地。趙亦滅代戎，即北戎也。韓、魏複共稍並伊、洛陽戎滅之。其遺脫者，皆逃走，西逾汧、隴。自是中國無戎寇，唯余義渠種焉。（《後漢書·西羌傳》） 案：時大荔稱王，築有城邑，故有王城，在今陝西大荔縣城之東。《括地志》雲：“同州馮翊縣及朝邑縣本漢臨晉縣地，古大荔戎國。今朝邑縣東三十步故王城，即大荔王城。”（《史記·匈奴列傳·正義》引）《西羌傳》謂“秦厲公滅大荔，取其地”，尚不確切。據《秦本紀》，是年秦伐取大荔之王城，但大荔並未滅亡，當已向北撤退。《六國表》載秦孝公二十四年大荔圍合陽，可知秦孝公末年大荔尚存，且擁有武力，進圍合陽。秦滅大荔尚在其後……
前458,458,周貞定王十一年（西元前四五八年）,10,秦、齊、楚、韓、趙、魏、晉、周、魯、越、衛、中山,句踐、知伯、智伯、趙襄子,伐、攻、圍、卒、立、滅、取、奔,秦厲共公十九年，晉出公十七年，齊平公二十三年，楚惠王三十一年。 [晉]出公十七年知伯與趙、韓、魏共分範、中行地以為邑。（《晉世家》） 昔者智伯瑤率趙、韓、魏伐範、中行，滅之。（《韓非子·十過》，《趙策一》第二章同） 案：《晉世家》記是年知伯與趙、韓、魏分範、中行地之後，“出公怒，告齊、魯，欲以伐四卿，四卿恐，遂反攻出公。出公奔齊道死。”《趙世家》亦有相同之記載，惟時在趙襄子立四年。《六國表》亦記趙襄子四年“與智伯分范、中行地”，當周貞定王十五年（西元前四五四年），較《晉世家》遲四年。《韓非子·十過》與《趙策一》第二章，稱知伯率趙、韓、魏滅範、中行之後，“反歸休兵數年”。因索地于韓、魏、趙，趙弗與，知伯因約韓、魏攻趙，圍晉陽三年，終於魏、韓反而與趙共滅知伯，而三分其地。周貞定王十五年正當知伯與魏、韓合圍晉陽之時。可知《六國表》、《趙世家》所記四卿分範、中行地之時間不確。既然四卿分範、中行地，與知伯等圍趙晉陽之間，嘗休兵數年，知伯又圍趙于晉陽三年，可知《晉世家》所載是年分範、中行地是實。《晉世家·索隱》引《紀年》雲：“出公二十三年奔楚”，正當韓、趙、魏共滅知伯之後一年。可知出公因滅知伯而出……
前457,457,周貞定王十二年（西元前四五七年）,18,秦、齊、楚、燕、韓、趙、魏、晉、周、吳、衛、宋、中山、蔡,張儀、知伯、智伯、荀瑤、韓康子、魏桓子,伐、攻、圍、卒、立、滅、取、殺、奔,秦厲共公二十年，晉出公十八年，齊平公二十四年，楚惠王三十二年。 秦厲共公二十年公將師與緜諸戰。（《六國表》） 案：《六國表》秦厲共公六年“繇諸乞援”。秦惠公六年“伐諸繇”。梁玉繩以為皆即緜諸。《史記·匈奴列傳》雲：“自隴以西有緜諸、緄戎、翟、貔之戎。”緜諸在今甘肅天水縣。《漢書·地理志》天水郡有緜諸道。 晉荀瑤伐中山，取窮魚之丘。（《水經·巨馬水注》、《初學記》八、《太平御覽》六十四、《太平寰宇記》六十七引《紀年》） 案：諸書引《紀年》，皆不記何年，今本《竹書紀年》列于周貞定王十二年，即晉出公十八年，不知何據。今姑列于此。蔡聲侯十五年卒，子元侯立。（《管蔡世家》） 案：《六國表》記“蔡聲侯卒”于楚惠王三十二年。 [智伯]還自衛，三卿宴于藍台。（《說苑·貴德篇》“宴”作“燕”，“宴”“燕”通用） 智襄子戲韓康子而侮段規。智伯國聞之（《說苑》“智伯國”作“智果”。作“果”為是，見案語），諫曰：“主不備（《說苑》作“主弗備難”），難必至矣（《說苑》無“矣”字）。”曰：“難將由我，我不為難，誰敢興之。”對曰：“異於是。夫郤氏有車轅之難，趙有孟姬之讒，欒有叔祁之愬（《說苑》“愬”作“訴”），範、……
前456,456,周貞定王十三年（西元前四五六年）,6,秦、齊、楚、韓、晉,,卒、立、取、會,秦厲共公二十一年，晉出公十九年，齊平公二十五年，楚惠王三十三年。 [秦厲共公]二十一年初縣頻陽，晉取武成。（《秦本紀》） 晉出公十九年晉韓龍取盧氏城。（《水經·洛水注》引《紀年》） 案：《秦本紀》“武成”一作“武城”，《史記會注考證》：“古鈔、楓、三南本作武城。”今本《竹書紀年》雲：“貞定王十三年晉韓龐取秦武城。”與今《水經注》所引古本《紀年》不同，而與《秦本紀》所言“晉取武成”相合。武成在今陝西華縣東，一作武下。考《永樂大典》本《水經注》所引，無“取盧”二字，戴震校本有之，雲：“近刻脫‘取盧’二字。”盧氏在今河南西部洛水上游，多崇山峻嶺。此一地段原為陸渾戎所在，不屬於秦，此時為晉所取。輯今本《竹書紀年》者殆見盧氏非秦地，因而從《秦本紀》改作武城也。 [齊平公]二十五年卒，子宣公積立。（《齊世家》） 案：《六國表》於次年記齊宣公就匝元年。《集解》：“本作積”。
